dataset,Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
cyp1a2,Morgan,KNN,0.784,0.473,0.871,0.648,0.919,0.772,0.634,0.641,0.563,0.562
cyp1a2,Morgan,LightGBM,0.922,0.78,0.899,0.627,0.958,0.774,0.763,0.687,0.633,0.628
cyp1a2,Morgan,LogisticRegression,0.907,0.735,0.859,0.774,0.877,0.823,0.575,0.659,0.583,0.572
cyp1a2,Morgan,RandomForest,0.916,0.755,0.866,0.744,0.892,0.814,0.596,0.662,0.585,0.579
cyp1a2,Morgan,XGBoost,0.927,0.794,0.902,0.641,0.958,0.783,0.768,0.698,0.644,0.64
cyp1a2,Morgan,vNN,0.7762795517145165,0.6738814047676034,0.8864581959666162,0.6058451337911437,0.9467139696378892,0.7571088006098773,0.7096153287315698,0.6533338663652245,0.5887827293451998,0.5859861035855445
cyp2d6,Mordred,Bayesian,0.801,0.459,0.79,0.664,0.814,0.735,0.408,0.505,0.4,0.381
cyp2d6,Mordred,KNN,0.711,0.341,0.84,0.521,0.902,0.685,0.505,0.512,0.417,0.417
cyp2d6,Mordred,LightGBM,0.888,0.649,0.885,0.493,0.961,0.688,0.707,0.58,0.528,0.516
cyp2d6,Mordred,LogisticRegression,0.852,0.542,0.796,0.77,0.802,0.785,0.428,0.55,0.463,0.432
cyp2d6,Mordred,RandomForest,0.885,0.633,0.879,0.566,0.939,0.729,0.641,0.601,0.532,0.53
cyp2d6,Mordred,XGBoost,0.892,0.659,0.887,0.478,0.965,0.679,0.727,0.576,0.529,0.514
cyp2d6,Morgan,Bayesian,0.837,0.539,0.837,0.603,0.882,0.729,0.496,0.544,0.449,0.446
cyp2d6,Morgan,KNN,0.793,0.472,0.869,0.441,0.951,0.647,0.636,0.52,0.458,0.447
cyp2d6,Morgan,LightGBM,0.877,0.647,0.883,0.497,0.957,0.689,0.689,0.577,0.52,0.511
cyp2d6,Morgan,LogisticRegression,0.862,0.606,0.839,0.704,0.865,0.78,0.5,0.585,0.499,0.488
cyp2d6,Morgan,RandomForest,0.88,0.637,0.861,0.645,0.902,0.763,0.56,0.599,0.517,0.515
cyp2d6,Morgan,XGBoost,0.871,0.625,0.877,0.495,0.95,0.685,0.656,0.564,0.501,0.494
cyp2d6,Morgan,vNN,0.7117204374021984,0.5914858647819681,0.871220338983051,0.4762292642601267,0.9472116105442696,0.6712981956484478,0.6350847240879891,0.5437956511898325,0.4775494038404964,0.4706682160224991
cyp2c9,Mordred,Bayesian,0.728,0.313,0.842,0.296,0.916,0.52,0.325,0.309,0.221,0.22
cyp2c9,Mordred,KNN,0.767,0.365,0.887,0.35,0.96,0.579,0.54,0.424,0.376,0.364
cyp2c9,Mordred,LightGBM,0.861,0.566,0.903,0.36,0.976,0.591,0.669,0.466,0.444,0.419
cyp2c9,Mordred,LogisticRegression,0.825,0.425,0.796,0.72,0.806,0.761,0.334,0.456,0.39,0.35
cyp2c9,Mordred,RandomForest,0.863,0.545,0.894,0.484,0.95,0.677,0.565,0.521,0.464,0.462
cyp2c9,Mordred,XGBoost,0.858,0.56,0.904,0.384,0.974,0.61,0.662,0.484,0.456,0.435
cyp2c9,Morgan,Bayesian,0.816,0.458,0.865,0.485,0.916,0.666,0.437,0.459,0.383,0.382
cyp2c9,Morgan,KNN,0.765,0.401,0.899,0.376,0.97,0.603,0.627,0.469,0.435,0.417
cyp2c9,Morgan,LightGBM,0.844,0.551,0.903,0.419,0.969,0.636,0.644,0.507,0.469,0.456
cyp2c9,Morgan,LogisticRegression,0.843,0.517,0.851,0.649,0.878,0.755,0.419,0.509,0.44,0.426
cyp2c9,Morgan,RandomForest,0.867,0.557,0.896,0.516,0.947,0.699,0.568,0.54,0.483,0.482
cyp2c9,Morgan,XGBoost,0.858,0.565,0.903,0.429,0.966,0.643,0.632,0.511,0.47,0.459
